name,rating,price,zip_code,categories,cuisine,borough
Sweetwater Restaurant,4.0,$$,11249,"New American, Bars",American,"Brooklyn, NY"
Baron's,4.0,$$,11205,"New American, Bars, Seafood",American,"Brooklyn, NY"
The Four Horsemen,4.5,$$,11211,"Wine Bars, New American",American,"Brooklyn, NY"
Stocked Burger,4.5,Not Available,11238,Burgers,American,"Brooklyn, NY"
SOBOKU,5.0,Not Available,11231,Japanese,Japanese,"Brooklyn, NY"
Ozakaya,4.5,Not Available,11238,"Izakaya, Sushi Bars",Japanese,"Brooklyn, NY"
Fujisawa Asian Bistro,5.0,Not Available,11235,"Asian Fusion, Sushi Bars, Ramen",Japanese,"Brooklyn, NY"
Verge,5.0,Not Available,11222,"Sushi Bars, Japanese, Asian Fusion",Japanese,"Brooklyn, NY"
Osaka Fusion Sushi,4.5,Not Available,11214,"Japanese, Sushi Bars, Seafood",Japanese,"Brooklyn, NY"
Oita NYC,4.5,$$,11215,"Sushi Bars, Japanese, Asian Fusion",Japanese,"Brooklyn, NY"
IWak,5.0,Not Available,11211,Sushi Bars,Japanese,"Brooklyn, NY"
Trad Room,4.5,$$,11233,"Japanese, Sushi Bars, Cocktail Bars",Japanese,"Brooklyn, NY"
Izakaya Nana,4.5,$$$,11354,Izakaya,Japanese,"Brooklyn, NY"
U-gu,4.5,$$,11205,"Sushi Bars, Japanese",Japanese,"Brooklyn, NY"
Fukurou Brooklyn,4.5,$$,11237,Ramen,Japanese,"Brooklyn, NY"
Sushi Yashin,4.0,$$,11215,"Japanese, Sushi Bars",Japanese,"Brooklyn, NY"
Dashi Okume,4.5,Not Available,11222,Japanese,Japanese,"Brooklyn, NY"
Okonomi,4.5,$$$,11211,"Japanese, Seafood",Japanese,"Brooklyn, NY"
Mikado,4.5,Not Available,11201,"Japanese, Sushi Bars, Soup",Japanese,"Brooklyn, NY"
Izakaya Fuku,4.5,$$,11372,Japanese,Japanese,"Brooklyn, NY"
Raku,4.5,$$,10003,"Japanese, Noodles",Japanese,"Brooklyn, NY"
Za-Ya,5.0,Not Available,11237,"Ramen, Noodles",Japanese,"Brooklyn, NY"
Wasan Brooklyn,4.0,$$,11217,Japanese,Japanese,"Brooklyn, NY"
Omakase Sushi By Hiro,4.5,Not Available,11235,Sushi Bars,Japanese,"Brooklyn, NY"
Gen,4.0,$$,11238,"Japanese, Sushi Bars",Japanese,"Brooklyn, NY"
Ishi Omakase & Premium Sake,5.0,Not Available,11217,"Japanese, Sushi Bars",Japanese,"Brooklyn, NY"
A-un Brooklyn,4.5,Not Available,11237,"Japanese, Beer Bar",Japanese,"Brooklyn, NY"
