,name,rating,price,zip_code,categories,cuisine,borough
48,The Wheelhouse,4.0,2,11237,"New American, Sandwiches, Bars",American,Brooklyn
49,Walter's,4.0,2,11217,"New American, Cocktail Bars",American,Brooklyn
50,Hart's Restaurant,4.5,3,11238,New American,American,Brooklyn
51,Mama Fox,4.0,2,11233,"New American, Cocktail Bars",American,Brooklyn
52,The Cabin NYC,4.0,2,10009,"New American, Cocktail Bars, Breakfast & Brunch",American,Manhattan
53,Endswell Bar & Bistro,4.5,2,11217,"Cocktail Bars, French",American,Brooklyn
54,Concrete,4.5,2,11206,"Bars, Breakfast & Brunch, Sicilian",American,Brooklyn
55,Charm Bar & Restaurant,4.0,3,11217,"Caribbean, New American, Cocktail Bars",American,Brooklyn
56,Buttermilk Channel,4.0,2,11231,Breakfast & Brunch,American,Brooklyn
57,The Four Horsemen,4.5,2,11211,"Wine Bars, New American",American,Brooklyn
58,Milk & Honey Cafe,4.0,2,11230,"Coffee & Tea, Desserts, Breakfast & Brunch",American,Brooklyn
59,Sunday in Brooklyn,4.0,2,11249,"New American, Breakfast & Brunch, Cocktail Bars",American,Brooklyn
60,Emily,4.0,2,11238,American,American,Brooklyn
61,Mayfield,4.0,2,11238,"New American, Breakfast & Brunch",American,Brooklyn
62,Sweet Chick,4.0,2,11217,"Breakfast & Brunch, Southern, Chicken Shop",American,Brooklyn
63,Sunken Harbor Club,4.5,3,11201,"Cocktail Bars, Tiki Bars",American,Brooklyn
64,Peaches HotHouse,4.0,2,11216,"Southern, American, Bars",American,Brooklyn
65,Mom's Kitchen & Bar,4.5,2,10019,"Comfort Food, Breakfast & Brunch, Bars",American,Manhattan
66,J&A Burgers N Shakes,3.5,1,11237,"Burgers, Wraps",American,Brooklyn
67,Lincoln Station,4.0,2,11238,"American, Cafes",American,Brooklyn
68,Peaches,3.5,2,11233,"Southern, Seafood, Breakfast & Brunch",American,Brooklyn
69,OTB,4.5,2,11211,"New American, Cocktail Bars, Gastropubs",American,Brooklyn
70,St. Anselm,4.0,3,11211,"New American, Wine Bars, Steakhouses",American,Brooklyn
71,Baron's,4.0,2,11205,"New American, Bars, Seafood",American,Brooklyn
72,Sweetwater Restaurant,4.0,2,11249,"New American, Bars",American,Brooklyn
73,Honey Badger,4.0,3,11225,"New American, Seafood",American,Brooklyn
74,Trad Room,4.5,2,11233,"Japanese, Sushi Bars, Cocktail Bars",Japanese,Brooklyn
75,Izakaya Nana,4.5,3,11354,Izakaya,Japanese,Queens
76,Oita NYC,4.5,2,11215,"Sushi Bars, Japanese, Asian Fusion",Japanese,Brooklyn
77,U-gu,4.5,2,11205,"Sushi Bars, Japanese",Japanese,Brooklyn
78,Okonomi,4.5,3,11211,"Japanese, Seafood",Japanese,Brooklyn
79,Fukurou Brooklyn,4.5,2,11237,Ramen,Japanese,Brooklyn
